year,country,gdp_pc
1900-01-01,Germany,2984
1901-01-01,Germany,2871
1902-01-01,Germany,2893
1903-01-01,Germany,3008
1904-01-01,Germany,3083
1905-01-01,Germany,3104
1906-01-01,Germany,3152
1907-01-01,Germany,3244
1908-01-01,Germany,3254
1909-01-01,Germany,3274
1910-01-01,Germany,3347
1911-01-01,Germany,3408
1912-01-01,Germany,3523
1913-01-01,Germany,3648
1914-01-01,Germany,3059
1915-01-01,Germany,2899
1916-01-01,Germany,2934
1917-01-01,Germany,2952
1918-01-01,Germany,2983
1919-01-01,Germany,2586
1920-01-01,Germany,2795
1921-01-01,Germany,3077
1922-01-01,Germany,3330
1923-01-01,Germany,2749
1924-01-01,Germany,3198
1925-01-01,Germany,3531
1926-01-01,Germany,3604
1927-01-01,Germany,3941
1928-01-01,Germany,4089
1929-01-01,Germany,4051
1930-01-01,Germany,3973
1931-01-01,Germany,3651
1932-01-01,Germany,3361
1933-01-01,Germany,3555
1934-01-01,Germany,3858
1935-01-01,Germany,4119
1936-01-01,Germany,4450
1937-01-01,Germany,4684
1938-01-01,Germany,4993
1939-01-01,Germany,5406
1940-01-01,Germany,5402
1941-01-01,Germany,5711
1942-01-01,Germany,5739
1943-01-01,Germany,5889
1944-01-01,Germany,6083
1945-01-01,Germany,4514
1946-01-01,Germany,2216
1947-01-01,Germany,2436
1900-01-01,United States of America,4090
1901-01-01,United States of America,4463
1902-01-01,United States of America,4420
1903-01-01,United States of America,4550
1904-01-01,United States of America,4409
1905-01-01,United States of America,4642
1906-01-01,United States of America,5079
1907-01-01,United States of America,5064
1908-01-01,United States of America,4560
1909-01-01,United States of America,5017
1910-01-01,United States of America,4963
1911-01-01,United States of America,5045
1912-01-01,United States of America,5200
1913-01-01,United States of America,5300
1914-01-01,United States of America,4799
1915-01-01,United States of America,4864
1916-01-01,United States of America,5458
1917-01-01,United States of America,5247
1918-01-01,United States of America,5658
1919-01-01,United States of America,5680
1920-01-01,United States of America,5552
1921-01-01,United States of America,5322
1922-01-01,United States of America,5539
1923-01-01,United States of America,6164
1924-01-01,United States of America,6232
1925-01-01,United States of America,6282
1926-01-01,United States of America,6602
1927-01-01,United States of America,6576
1928-01-01,United States of America,6569
1929-01-01,United States of America,6898
1930-01-01,United States of America,6212
1931-01-01,United States of America,5691
1932-01-01,United States of America,4908
1933-01-01,United States of America,4776
1934-01-01,United States of America,5113
1935-01-01,United States of America,5466
1936-01-01,United States of America,6203
1937-01-01,United States of America,6430
1938-01-01,United States of America,6126
1939-01-01,United States of America,6560
1940-01-01,United States of America,7009
1941-01-01,United States of America,8205
1942-01-01,United States of America,9741
1943-01-01,United States of America,11518
1944-01-01,United States of America,12333
1945-01-01,United States of America,11708
1946-01-01,United States of America,9196
1947-01-01,United States of America,8885
